Viewer,Image,Description,Mean,Sum,SD,Size (mm),Voxels
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,cc1,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,cc2,0.002245167228528209,6.89490855881013,0.006127607906657789,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,cc3,7.867511849030391E-4,2.416112888837233,0.002462937389162451,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,cc4,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,cc5,0.0036345836322451966,11.161806334624998,0.0058478898309148285,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,cc6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,cc7,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,cc8,0.004221796784169356,12.965137924184091,0.0072848722389657105,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,wm1,2.1118937604291865E-4,0.6485625738278031,0.0013703136989660011,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,wm2,0.006962121956091943,21.380676527158357,0.006868952681910969,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,wm3,0.0025393014607462184,7.798194785951637,0.0066754817805674636,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,wm4,0.005612774306965263,17.236829896690324,0.006911332817375569,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,wm5,0.004209769559571976,12.928202317445539,0.005930461841852252,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,wm6,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,wm7,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,wm8,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,cc9,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,cc10,0.0,0.0,0.0,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,at1,0.009127085164269097,28.029278539470397,0.006899814688110309,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,at2,0.017548350910355923,53.89098564570304,0.009767441034300595,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,at3,9.492320927919578E-4,2.9150917569641024,0.003108961957814309,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,at4,0.027764671782073504,85.26530704274774,0.008651231921823056,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,at5,0.007160988051167716,21.991394305136055,0.006940076462582912,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,at6,0.004657026034011377,14.301726950448938,0.0074378160938642435,3071.0,3071,
Colin27_T1_seg_MNI,R superior parietal lobule_C05_1k_ALE,at7,0.0,0.0,0.0,3071.0,3071,
